	cpmid	n	avg_accuracy	max_accuracy	median_accuracy	std_error
74	11308015_D011134_x_D018981	4	1.0	1.0	1.0	0.0
75	11308015_D011134_x_D018981	5	1.0	1.0	1.0	0.0
76	11308015_D011134_x_D018981	6	1.0	1.0	1.0	0.0
77	11308015_D011134_x_D018981	7	1.0	1.0	1.0	0.0
78	11308015_D011134_x_D018981	8	1.0	1.0	1.0	0.0
79	11308015_D011134_x_D018981	9	1.0	1.0	1.0	0.0
80	11308015_D011134_x_D018981	10	1.0	1.0	1.0	0.0
81	11308015_D011134_x_D018981	11	1.0	1.0	1.0	0.0
82	11308015_D011134_x_D018981	12	1.0	1.0	1.0	0.0
83	11308015_D011134_x_D018981	13	1.0	1.0	1.0	0.0
84	11308015_D011134_x_D018981	14	1.0	1.0	1.0	0.0
85	11308015_D011134_x_D018981	15	1.0	1.0	1.0	0.0
86	11353896_4158_x_D004931	1	0.42000000000000004	0.6	0.4	0.04898979485566356
87	11353896_4158_x_D004931	2	0.41999999999999993	0.5	0.5	0.058309518948452994
88	11353896_4158_x_D004931	3	0.45999999999999996	0.7	0.4	0.08124038404635961
89	11353896_4158_x_D004931	4	0.58	0.8	0.6	0.08602325267042625
90	11353896_4158_x_D004931	5	0.54	0.7	0.5	0.05099019513592784
91	11353896_4158_x_D004931	6	0.6599999999999999	0.8	0.7	0.050990195135927834
92	11353896_4158_x_D004931	7	0.7	0.9	0.7	0.07071067811865477
93	11353896_4158_x_D004931	8	0.74	1.0	0.7	0.07483314773547883
94	11353896_4158_x_D004931	9	0.6	0.7	0.6	0.031622776601683784
95	11353896_4158_x_D004931	10	0.76	0.9	0.8	0.05099019513592785
96	11353896_4158_x_D004931	11	0.78	0.9	0.8	0.05830951894845302
97	11353896_4158_x_D004931	12	0.76	1.0	0.8	0.09273618495495703
98	11353896_4158_x_D004931	13	0.5800000000000001	0.8	0.6	0.066332495807108
99	11353896_4158_x_D004931	14	0.74	0.9	0.8	0.0678232998312527
100	11353896_4158_x_D004931	15	0.82	1.0	0.8	0.048989794855663564
101	11353896_5443_x_D020022	1	0.42000000000000004	0.6	0.5	0.09165151389911678
102	11353896_5443_x_D020022	2	0.34	0.5	0.4	0.06782329983125268
103	11353896_5443_x_D020022	3	0.28	0.3	0.3	0.01999999999999999
104	11353896_5443_x_D020022	4	0.54	0.7	0.6	0.05999999999999998
105	11353896_5443_x_D020022	5	0.5	0.8	0.5	0.08366600265340755
106	11353896_5443_x_D020022	6	0.58	0.7	0.6	0.058309518948452994
107	11353896_5443_x_D020022	7	0.5599999999999999	0.8	0.6	0.09273618495495703
108	11353896_5443_x_D020022	8	0.6799999999999999	0.9	0.6	0.07348469228349537
109	11353896_5443_x_D020022	9	0.64	0.8	0.7	0.08124038404635958
110	11353896_5443_x_D020022	10	0.7	0.9	0.7	0.07071067811865477
111	11353896_5443_x_D020022	11	0.6399999999999999	0.7	0.6	0.02449489742783178
112	11353896_5443_x_D020022	12	0.5599999999999999	0.7	0.7	0.08717797887081344
113	11353896_5443_x_D020022	13	0.76	1.0	0.8	0.08124038404635961
114	11353896_5443_x_D020022	14	0.6399999999999999	0.7	0.6	0.02449489742783177
115	11353896_5443_x_D020022	15	0.7200000000000001	0.8	0.7	0.02000000000000001
116	11807674_D006854_x_C536008	1	0.5	0.6	0.5	0.05477225575051662
117	11807674_D006854_x_C536008	2	0.4	0.6	0.4	0.09486832980505137
118	11807674_D006854_x_C536008	3	0.72	0.9	0.8	0.07348469228349534
119	11807674_D006854_x_C536008	4	0.74	0.9	0.8	0.06782329983125268
120	11807674_D006854_x_C536008	5	0.76	0.9	0.8	0.05099019513592787
121	11807674_D006854_x_C536008	6	0.7	0.8	0.7	0.04472135954999581
122	11807674_D006854_x_C536008	7	0.7	0.9	0.7	0.07071067811865477
123	11807674_D006854_x_C536008	8	0.8	1.0	0.7	0.0632455532033676
124	11807674_D006854_x_C536008	9	0.82	1.0	0.8	0.09165151389911678
125	11807674_D006854_x_C536008	10	0.8800000000000001	1.0	0.9	0.0374165738677394
126	11807674_D006854_x_C536008	11	0.9800000000000001	1.0	1.0	0.019999999999999997
127	11807674_D006854_x_C536008	12	0.8200000000000001	1.0	0.9	0.07348469228349536
128	11807674_D006854_x_C536008	13	1.0	1.0	1.0	0.0
129	11807674_D006854_x_C536008	14	1.0	1.0	1.0	0.0
130	11807674_D006854_x_C536008	15	1.0	1.0	1.0	0.0
131	11807674_D006854_x_D004931	1	0.64	0.8	0.7	0.06782329983125268
132	11807674_D006854_x_D004931	2	0.78	1.0	0.8	0.066332495807108
133	11807674_D006854_x_D004931	3	0.76	0.9	0.8	0.050990195135927854
134	11807674_D006854_x_D004931	4	0.9	1.0	0.9	0.031622776601683784
135	11807674_D006854_x_D004931	5	0.8400000000000001	1.0	0.9	0.06
136	11807674_D006854_x_D004931	6	0.9800000000000001	1.0	1.0	0.019999999999999993
137	11807674_D006854_x_D004931	7	0.9199999999999999	1.0	0.9	0.037416573867739396
138	11807674_D006854_x_D004931	8	1.0	1.0	1.0	0.0
139	11807674_D006854_x_D004931	9	1.0	1.0	1.0	0.0
140	11807674_D006854_x_D004931	10	1.0	1.0	1.0	0.0
141	11807674_D006854_x_D004931	11	1.0	1.0	1.0	0.0
142	11807674_D006854_x_D004931	12	1.0	1.0	1.0	0.0
143	11807674_D006854_x_D004931	13	1.0	1.0	1.0	0.0
144	11807674_D006854_x_D004931	14	1.0	1.0	1.0	0.0
145	11807674_D006854_x_D004931	15	1.0	1.0	1.0	0.0
146	11836161_C056752_x_D000742	1	0.9199999999999999	1.0	0.9	0.0374165738677394
147	11836161_C056752_x_D000742	2	0.82	0.9	0.8	0.037416573867739424
148	11836161_C056752_x_D000742	3	0.9800000000000001	1.0	1.0	0.019999999999999993
149	11836161_C056752_x_D000742	4	1.0	1.0	1.0	0.0
150	11836161_C056752_x_D000742	5	1.0	1.0	1.0	0.0
151	11836161_C056752_x_D000742	6	1.0	1.0	1.0	0.0
152	11836161_C056752_x_D000742	7	1.0	1.0	1.0	0.0
153	11836161_C056752_x_D000742	8	1.0	1.0	1.0	0.0
154	11836161_C056752_x_D000742	9	1.0	1.0	1.0	0.0
155	11836161_C056752_x_D000742	10	1.0	1.0	1.0	0.0
156	11836161_C056752_x_D000742	11	1.0	1.0	1.0	0.0
157	11836161_C056752_x_D000742	12	1.0	1.0	1.0	0.0
158	11836161_C056752_x_D000742	13	1.0	1.0	1.0	0.0
159	11836161_C056752_x_D000742	14	1.0	1.0	1.0	0.0
160	11836161_C056752_x_D000742	15	1.0	1.0	1.0	0.0
161	11916319_D003981_x_D012640	1	0.38	0.5	0.4	0.03741657386773942
162	11916319_D003981_x_D012640	2	0.38	0.5	0.4	0.048989794855663564
163	11916319_D003981_x_D012640	3	0.7	0.8	0.7	0.044721359549995815
164	11916319_D003981_x_D012640	4	0.5599999999999999	0.7	0.5	0.05999999999999998
165	11916319_D003981_x_D012640	5	0.66	0.9	0.6	0.08124038404635961
166	11916319_D003981_x_D012640	6	0.45999999999999996	0.6	0.5	0.0748331477354788
167	11916319_D003981_x_D012640	7	0.78	0.9	0.8	0.07348469228349534
168	11916319_D003981_x_D012640	8	0.5800000000000001	0.7	0.5	0.048989794855663536
169	11916319_D003981_x_D012640	9	0.6399999999999999	0.7	0.6	0.024494897427831765
170	11916319_D003981_x_D012640	10	0.6599999999999999	0.8	0.7	0.06782329983125268
171	11916319_D003981_x_D012640	11	0.6399999999999999	0.8	0.6	0.05099019513592785
172	11916319_D003981_x_D012640	12	0.74	0.9	0.7	0.06782329983125268
173	11916319_D003981_x_D012640	13	0.6799999999999999	0.9	0.7	0.1019803902718557
174	11916319_D003981_x_D012640	14	1.0	1.0	1.0	0.0
175	12717251_8086_x_C536008	1	1.0	1.0	1.0	0.0
176	12717251_8086_x_C536008	2	1.0	1.0	1.0	0.0
177	12717251_8086_x_C536008	3	1.0	1.0	1.0	0.0
